lap,time,velocity,lookahead,x,y
1,2.005873918533325,11.598183631896973,4.499824523925781,-12.502658606128465,-0.993886035685872
1,2.0073602199554443,11.597005844116211,4.499367713928223,-12.529237716174602,-1.0096602041622607
1,2.0118279457092285,11.597005844116211,4.499367713928223,-12.529237716174602,-1.0096602041622607
1,2.0171220302581787,11.597005844116211,4.499367713928223,-12.556650622105435,-1.0258927804729316
1,2.019351005554199,11.597005844116211,4.499367713928223,-12.556650622105435,-1.0258927804729316
1,2.0238804817199707,11.597005844116211,4.499367713928223,-12.556650622105435,-1.0258927804729316
1,2.027209520339966,11.597005844116211,4.499367713928223,-12.584890224024083,-1.042595717086501
1,2.031959056854248,11.597005844116211,4.499367713928223,-12.584890224024083,-1.042595717086501
1,2.0379140377044678,11.597005844116211,4.499367713928223,-12.613965363478174,-1.0597540252902904
1,2.039766550064087,11.597005844116211,4.499367713928223,-12.613965363478174,-1.0597540252902904
1,2.045804738998413,11.597005844116211,4.499367713928223,-12.613965363478174,-1.0597540252902904
1,2.050886631011963,11.597005844116211,4.499367713928223,-12.643868959210192,-1.077379662974329
1,2.0530881881713867,11.597005844116211,4.499367713928223,-12.643868959210192,-1.077379662974329
1,2.056246757507324,11.597005844116211,4.499367713928223,-12.67460983149804,-1.0954576214459095
1,2.059833526611328,11.597005844116211,4.499367713928223,-12.67460983149804,-1.0954576214459095
1,2.0644710063934326,11.597005844116211,4.499367713928223,-12.67460983149804,-1.0954576214459095
1,2.067129373550415,11.597005844116211,4.499367713928223,-12.706180913930282,-1.1139998714821493
1,2.0717482566833496,11.597005844116211,4.499367713928223,-12.706180913930282,-1.1139998714821493
1,2.075619697570801,11.594600677490234,4.498434543609619,-12.738591000053443,-1.1329913925723425
1,2.0820975303649902,11.594600677490234,4.498434543609619,-12.738591000053443,-1.1329913925723425
1,2.083230972290039,11.594600677490234,4.498434543609619,-12.738591000053443,-1.1329913925723425
1,2.0899736881256104,11.594600677490234,4.498434543609619,-12.77183303483214,-1.1524441752662928
1,2.091294050216675,11.594600677490234,4.498434543609619,-12.77183303483214,-1.1524441752662928
1,2.0962471961975098,11.594600677490234,4.498434543609619,-12.8059157803567,-1.172343194469148
1,2.0997812747955322,11.594600677490234,4.498434543609619,-12.8059157803567,-1.172343194469148
1,2.103604555130005,11.594600677490234,4.498434543609619,-12.8059157803567,-1.172343194469148
1,2.107301950454712,11.594600677490234,4.498434543609619,-12.840832189876823,-1.1927004667089331
1,2.113494873046875,11.594600677490234,4.498434543609619,-12.840832189876823,-1.1927004667089331
1,2.123575448989868,11.594600677490234,4.498434543609619,-12.876590990007914,-1.2135009686379592
1,2.1244640350341797,11.594600677490234,4.498434543609619,-12.876590990007914,-1.2135009686379592
1,2.127272367477417,11.591410636901855,4.497197151184082,-12.913185139604513,-1.2347567482265522
1,2.1311569213867188,11.591410636901855,4.497197151184082,-12.913185139604513,-1.2347567482265522
1,2.136547803878784,11.591410636901855,4.497197151184082,-12.950623326462301,-1.2564527893284685
1,2.1392955780029297,11.591410636901855,4.497197151184082,-12.950623326462301,-1.2564527893284685
1,2.1462621688842773,11.591410636901855,4.497197151184082,-12.950623326462301,-1.2564527893284685
1,2.1475610733032227,11.591410636901855,4.497197151184082,-12.988898512783635,-1.2786011760489369
1,2.151423931121826,11.591410636901855,4.497197151184082,-12.988898512783635,-1.2786011760489369
1,2.1567139625549316,11.591410636901855,4.497197151184082,-13.028019344837338,-1.301186904051223
1,2.159482717514038,11.591410636901855,4.497197151184082,-13.028019344837338,-1.301186904051223
1,2.163672924041748,11.591410636901855,4.497197151184082,-13.028019344837338,-1.301186904051223
1,2.1691067218780518,11.591410636901855,4.497197151184082,-13.067974858853175,-1.3242289121002904
1,2.173103094100952,11.591410636901855,4.497197151184082,-13.067974858853175,-1.3242289121002904
1,2.1761324405670166,11.587470054626465,4.495668411254883,-13.108757560431584,-1.3477401809665737
1,2.1794800758361816,11.587470054626465,4.495668411254883,-13.108757560431584,-1.3477401809665737
1,2.1909661293029785,11.587470054626465,4.495668411254883,-13.15035522468647,-1.3717419088224603
1,2.1921591758728027,11.587470054626465,4.495668411254883,-13.15035522468647,-1.3717419088224603
1,2.1962718963623047,11.587470054626465,4.495668411254883,-13.19277455567049,-1.3962224697357761
1,2.199586868286133,11.587470054626465,4.495668411254883,-13.19277455567049,-1.3962224697357761
1,2.2034285068511963,11.587470054626465,4.495668411254883,-13.19277455567049,-1.3962224697357761
1,2.210078477859497,11.587470054626465,4.495668411254883,-13.23600619773796,-1.4211980644393865
1,2.2117629051208496,11.587470054626465,4.495668411254883,-13.23600619773796,-1.4211980644393865
1,2.216029644012451,11.58246898651123,4.493727684020996,-13.280056195549946,-1.4466582173875602
1,2.2194972038269043,11.58246898651123,4.493727684020996,-13.280056195549946,-1.4466582173875602
1,2.223721742630005,11.58246898651123,4.493727684020996,-13.280056195549946,-1.4466582173875602
1,2.227587938308716,11.58246898651123,4.493727684020996,-13.32491477713483,-1.4726198170351923
1,2.2314229011535645,11.58246898651123,4.493727684020996,-13.32491477713483,-1.4726198170351923
1,2.2406373023986816,11.58246898651123,4.493727684020996,-13.370587789167075,-1.4990727385830962
1,2.2409098148345947,11.58246898651123,4.493727684020996,-13.370587789167075,-1.4990727385830962
1,2.245272159576416,11.58246898651123,4.493727684020996,-13.370587789167075,-1.4990727385830962
1,2.249962091445923,11.58246898651123,4.493727684020996,-13.417065389477003,-1.5260339451265112
1,2.2515547275543213,11.58246898651123,4.493727684020996,-13.417065389477003,-1.5260339451265112
