-0.597353,-0.036032,0.314252
-0.600027,-0.031666,0.315208
-0.595415,-0.036172,0.435928
-0.59847,-0.032804,0.483352
-0.596651,-0.029221,0.654852
-0.593454,-0.025263,0.933172
-0.581895,-0.024376,1.057244
-0.575769,-0.032489,1.426588
-0.551913,-0.030774,1.981316
-0.514118,-0.028356,2.125508
-0.473122,-0.037458,2.226108
-0.440252,-0.030943,2.252936
-0.41014,-0.033556,2.287424
-0.39426,-0.036655,2.30946
-0.374829,-0.033576,2.316168
-0.370898,-0.037162,2.315208
-0.362115,-0.041129,2.314732
-0.327088,-0.040826,2.331016
-0.281166,-0.040135,2.316648
-0.27032,-0.040827,2.348744
-0.253408,-0.045126,2.355448
-0.248234,-0.047202,2.331976
-0.179799,-0.054119,2.355928
-0.13073,-0.055999,2.318084
-0.097111,-0.05607,2.315688
-0.075998,-0.065396,2.351616
-0.00525,-0.058904,2.357364
0.033722,-0.052259,2.356888
0.043359,-0.050544,2.323832
0.057645,-0.046961,2.318564
0.071242,-0.046269,2.337244
0.123844,-0.036991,2.3291
0.171259,-0.033857,2.317604
0.183956,-0.033956,2.336288
0.197591,-0.033188,2.348744
0.209337,-0.037724,2.333412
0.212978,-0.037354,2.341076
0.222046,-0.037195,2.3406
0.239276,-0.036074,2.3497
0.309651,-0.025954,2.326708
0.355419,-0.018227,2.314732
0.408937,-0.011264,2.345868
0.469757,0.000424,2.336288
0.516735,0.008757,2.33054
0.541725,0.014439,2.364552
0.572647,0.022278,2.331976
0.593919,0.022462,2.348264
0.606693,0.025745,2.337724
0.620355,0.032518,2.328144
0.66991,0.033225,2.33916
0.707589,0.031345,2.342516
0.731456,0.032661,2.338204
0.75069,0.034362,2.331496
0.765933,0.031113,2.345868
0.780089,0.031758,2.33964
0.804746,0.035608,2.33054
0.813596,0.036824,2.342516
0.819499,0.039022,2.313292
0.832103,0.042474,2.343472
0.837645,0.044499,2.3406
0.861098,0.043551,2.365988
0.874761,0.045718,2.33916
0.896791,0.048041,2.345388
0.935007,0.050987,2.37078
0.979912,0.046763,2.353532
1.012479,0.045152,2.335328
1.007857,0.045469,2.358324
1.023973,0.04694,2.353052
1.041777,0.043664,2.342996
1.074669,0.045769,2.32096
1.108874,0.043759,2.322876
1.145432,0.040418,2.3497
1.172299,0.03597,2.333412
1.216899,0.033095,2.318084
1.2548,0.030274,2.333892
1.282923,0.030266,2.358324
1.311702,0.030429,2.346828
1.328845,0.028994,2.367904
1.370433,0.027498,2.3291
1.406552,0.026585,2.344912
1.428313,0.023177,2.31952
1.467451,0.021785,2.33006
1.484972,0.016139,2.321916
1.515596,0.014919,2.327664
1.557975,0.016203,2.3497
1.567748,0.017533,2.337724
1.610432,0.018441,2.338684
1.62796,0.017613,2.3406
1.656964,0.016824,2.327664
1.679747,0.013035,2.377004
1.732819,0.011036,2.358324
1.754712,0.01424,2.35018
1.788799,0.010904,2.357844
1.850177,0.008065,2.357364
1.897864,0.001682,2.376528
1.926216,-0.005521,2.36072
1.983789,-0.005371,2.341076
1.997372,-0.010485,2.37988
2.029107,-0.007208,2.337244
2.065895,-0.007672,2.352096
2.087398,-0.006004,2.372696
2.125358,-0.010057,2.3703
2.141839,-0.015763,2.341076
2.15048,-0.016902,2.327664
2.171676,-0.01815,2.373172
2.229932,-0.02018,2.34012
2.275625,-0.02848,2.34012
2.325694,-0.031171,2.355448
2.328205,-0.033212,2.335808
